class	Structured comment name	recommended	required
HydrocarbonResourcesCores	toluene	True	
HydrocarbonResourcesCores	ethylbenzene	True	
HydrocarbonResourcesCores	xylene	True	
HydrocarbonResourcesCores	api		True
HydrocarbonResourcesCores	tan	True	
HydrocarbonResourcesCores	viscosity		
HydrocarbonResourcesCores	pour_point		
HydrocarbonResourcesCores	saturates_pc	True	
HydrocarbonResourcesCores	aromatics_pc	True	
HydrocarbonResourcesCores	resins_pc	True	
HydrocarbonResourcesCores	asphaltenes_pc	True	
HydrocarbonResourcesCores	misc_param		
HydrocarbonResourcesCores	additional_info		
HydrocarbonResourcesFluidsSwabs	samp_name		True
HydrocarbonResourcesFluidsSwabs	project_name		True
HydrocarbonResourcesFluidsSwabs	hcr		True
HydrocarbonResourcesFluidsSwabs	hc_produced		True
HydrocarbonResourcesFluidsSwabs	basin		True
HydrocarbonResourcesFluidsSwabs	field	True	
HydrocarbonResourcesFluidsSwabs	reservoir	True	
HydrocarbonResourcesFluidsSwabs	hcr_temp	True	
HydrocarbonResourcesFluidsSwabs	tvdss_of_hcr_temp		
HydrocarbonResourcesFluidsSwabs	hcr_pressure		
HydrocarbonResourcesFluidsSwabs	tvdss_of_hcr_press		
HydrocarbonResourcesFluidsSwabs	lithology	True	
HydrocarbonResourcesFluidsSwabs	depos_env	True	
HydrocarbonResourcesFluidsSwabs	hcr_geol_age	True	
HydrocarbonResourcesFluidsSwabs	hcr_fw_salinity	True	
HydrocarbonResourcesFluidsSwabs	sulfate_fw	True	
HydrocarbonResourcesFluidsSwabs	vfa_fw	True	
HydrocarbonResourcesFluidsSwabs	prod_start_date	True	
HydrocarbonResourcesFluidsSwabs	prod_rate	True	
HydrocarbonResourcesFluidsSwabs	water_prod_rate	True	
HydrocarbonResourcesFluidsSwabs	water_cut		True
HydrocarbonResourcesFluidsSwabs	iwf		True
HydrocarbonResourcesFluidsSwabs	add_recov_method		True
HydrocarbonResourcesFluidsSwabs	iw_bt_date_well		
HydrocarbonResourcesFluidsSwabs	biocide	True	
HydrocarbonResourcesFluidsSwabs	biocide_admin_method	True	
HydrocarbonResourcesFluidsSwabs	chem_treatment		
HydrocarbonResourcesFluidsSwabs	chem_treat_method		
HydrocarbonResourcesFluidsSwabs	samp_loc_corr_rate	True	
HydrocarbonResourcesFluidsSwabs	samp_well_name	True	
HydrocarbonResourcesFluidsSwabs	win	True	
HydrocarbonResourcesFluidsSwabs	samp_type		True
HydrocarbonResourcesFluidsSwabs	samp_subtype	True	
HydrocarbonResourcesFluidsSwabs	samp_collect_point		True
HydrocarbonResourcesFluidsSwabs	temp		True
HydrocarbonResourcesFluidsSwabs	pressure		
HydrocarbonResourcesFluidsSwabs	oxy_stat_samp		
HydrocarbonResourcesFluidsSwabs	samp_preserv		
HydrocarbonResourcesFluidsSwabs	samp_transport_cond		
HydrocarbonResourcesFluidsSwabs	samp_store_temp		
HydrocarbonResourcesFluidsSwabs	samp_store_dur		
HydrocarbonResourcesFluidsSwabs	samp_store_loc		
HydrocarbonResourcesFluidsSwabs	samp_vol_we_dna_ext	True	
HydrocarbonResourcesFluidsSwabs	organism_count	True	
HydrocarbonResourcesFluidsSwabs	org_count_qpcr_info		
HydrocarbonResourcesFluidsSwabs	ph	True	
HydrocarbonResourcesFluidsSwabs	salinity		
HydrocarbonResourcesFluidsSwabs	alkalinity		
HydrocarbonResourcesFluidsSwabs	alkalinity_method		
HydrocarbonResourcesFluidsSwabs	sulfate		True
HydrocarbonResourcesFluidsSwabs	sulfide		True
HydrocarbonResourcesFluidsSwabs	tot_sulfur	True	
HydrocarbonResourcesFluidsSwabs	nitrate		True
HydrocarbonResourcesFluidsSwabs	nitrite	True	
HydrocarbonResourcesFluidsSwabs	ammonium	True	
HydrocarbonResourcesFluidsSwabs	tot_nitro		
HydrocarbonResourcesFluidsSwabs	diss_iron	True	
HydrocarbonResourcesFluidsSwabs	sodium		
HydrocarbonResourcesFluidsSwabs	chloride		
HydrocarbonResourcesFluidsSwabs	potassium		
HydrocarbonResourcesFluidsSwabs	magnesium		
HydrocarbonResourcesFluidsSwabs	calcium		
HydrocarbonResourcesFluidsSwabs	tot_iron	True	
HydrocarbonResourcesFluidsSwabs	diss_org_carb		
HydrocarbonResourcesFluidsSwabs	diss_inorg_carb		
HydrocarbonResourcesFluidsSwabs	diss_inorg_phosp	True	
HydrocarbonResourcesFluidsSwabs	tot_phosp		
HydrocarbonResourcesFluidsSwabs	suspend_solids		
HydrocarbonResourcesFluidsSwabs	density		
HydrocarbonResourcesFluidsSwabs	diss_carb_dioxide		
HydrocarbonResourcesFluidsSwabs	diss_oxygen_fluid		
HydrocarbonResourcesFluidsSwabs	vfa	True	
HydrocarbonResourcesFluidsSwabs	benzene	True	
HydrocarbonResourcesFluidsSwabs	toluene	True	
HydrocarbonResourcesFluidsSwabs	ethylbenzene	True	
HydrocarbonResourcesFluidsSwabs	xylene	True	
HydrocarbonResourcesFluidsSwabs	api		True
HydrocarbonResourcesFluidsSwabs	tan	True	
HydrocarbonResourcesFluidsSwabs	viscosity		
HydrocarbonResourcesFluidsSwabs	pour_point		
HydrocarbonResourcesFluidsSwabs	saturates_pc	True	
HydrocarbonResourcesFluidsSwabs	aromatics_pc	True	
HydrocarbonResourcesFluidsSwabs	resins_pc	True	
HydrocarbonResourcesFluidsSwabs	asphaltenes_pc	True	
HydrocarbonResourcesFluidsSwabs	misc_param		
HydrocarbonResourcesFluidsSwabs	additional_info		
MicrobialMatBiofilm	samp_name		True
MicrobialMatBiofilm	project_name		True
MicrobialMatBiofilm	depth	True	
MicrobialMatBiofilm	elev	True	
MicrobialMatBiofilm	alkalinity		
MicrobialMatBiofilm	alkyl_diethers		
MicrobialMatBiofilm	aminopept_act		
MicrobialMatBiofilm	ammonium		
MicrobialMatBiofilm	bacteria_carb_prod		
MicrobialMatBiofilm	biomass		
MicrobialMatBiofilm	bishomohopanol		
MicrobialMatBiofilm	bromide		
MicrobialMatBiofilm	calcium		
