env_1	env_2	raw	normalized
miscellaneous natural or artificial environment	food-animal and animal feed	1.064748201438849	0.17266187050359724
miscellaneous natural or artificial environment	hydrocarbon resources-fluids/swabs	1.0	0.0
miscellaneous natural or artificial environment	human-gut	1.0	0.0
miscellaneous natural or artificial environment	hydrocarbon resources-cores	1.0	0.0
miscellaneous natural or artificial environment	human-associated	1.0	0.0
miscellaneous natural or artificial environment	microbial mat/biofilm	1.0	0.0
miscellaneous natural or artificial environment	food-farm environment	1.0568181818181819	0.15151515151515169
miscellaneous natural or artificial environment	plant-associated	1.0	0.0
miscellaneous natural or artificial environment	built environment	1.0	0.0
miscellaneous natural or artificial environment	sediment	1.0	0.0
water	food-food production facility	1.0276243093922652	0.07366482504604062
water	food-animal and animal feed	1.050561797752809	0.13483146067415733
water	hydrocarbon resources-fluids/swabs	1.0071942446043165	0.01918465227817734
water	human-gut	1.0091743119266054	0.0244648318042812
water	hydrocarbon resources-cores	1.007462686567164	0.01990049751243757
water	human-associated	1.008	0.021333333333333353
water	microbial mat/biofilm	1.0222222222222221	0.059259259259259046
water	food-farm environment	1.0710900473933649	0.18957345971563969
water	plant-associated	1.006896551724138	0.018390804597701187
water	built environment	1.0	0.0
water	sediment	1.021505376344086	0.05734767025089601
food-food production facility	food-animal and animal feed	1.0846153846153845	0.22564102564102542
food-food production facility	hydrocarbon resources-fluids/swabs	1.0276243093922652	0.07366482504604062
food-food production facility	human-gut	1.037593984962406	0.10025062656641619
food-food production facility	hydrocarbon resources-cores	1.0282485875706215	0.07532956685499077
food-food production facility	human-associated	1.0335570469798658	0.08948545861297556
food-food production facility	microbial mat/biofilm	1.03125	0.08333333333333333
food-food production facility	food-farm environment	1.050251256281407	0.13400335008375208
food-food production facility	plant-associated	1.035294117647059	0.09411764705882379
food-food production facility	built environment	1.0274509803921568	0.07320261437908471
food-food production facility	sediment	1.0301204819277108	0.08032128514056207
food-animal and animal feed	hydrocarbon resources-fluids/swabs	1.0444444444444445	0.11851851851851869
food-animal and animal feed	human-gut	1.0692307692307692	0.18461538461538454
food-animal and animal feed	hydrocarbon resources-cores	1.0454545454545454	0.1212121212121211
food-animal and animal feed	human-associated	1.0616438356164384	0.1643835616438357
food-animal and animal feed	microbial mat/biofilm	1.0573248407643312	0.15286624203821653
food-animal and animal feed	food-farm environment	1.052910052910053	0.14109347442680806
food-animal and animal feed	plant-associated	1.0535714285714286	0.14285714285714293
food-animal and animal feed	built environment	1.0114503816793894	0.030534351145038368
